epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,8422.06,0.31656,0.25281,0.9134,0.99914,1,0.995,0.98099,0.22728,0.12633,0.81402,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8578.16,0.31168,0.24528,0.91011,0.99884,1,0.995,0.98158,0.22601,0.12441,0.81317,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,8737.88,0.30766,0.23893,0.90898,0.99902,1,0.995,0.98165,0.22611,0.1245,0.81292,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,8902.43,0.30891,0.24482,0.91119,0.99914,1,0.995,0.98137,0.22509,0.12354,0.8125,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9044.27,0.30466,0.23323,0.90836,0.99892,1,0.995,0.9816,0.22529,0.12477,0.81262,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,9182.5,0.29966,0.22769,0.90732,0.99903,1,0.995,0.98145,0.225,0.12464,0.81264,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,9320.88,0.29564,0.22248,0.90593,0.99912,1,0.995,0.98151,0.22488,0.12448,0.81238,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,9459.91,0.29575,0.22128,0.90675,0.99899,1,0.995,0.98138,0.22468,0.12388,0.81225,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,9710.51,0.23276,0.14656,0.86782,0.99932,1,0.995,0.98197,0.22353,0.12239,0.81173,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,9847.47,0.2251,0.13781,0.8624,0.99919,1,0.995,0.98233,0.2219,0.12122,0.81099,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,9984.61,0.21709,0.13312,0.86047,0.99952,1,0.995,0.98246,0.22048,0.11968,0.81025,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,10122.5,0.21548,0.1287,0.8564,0.99946,1,0.995,0.98274,0.21919,0.11821,0.80964,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,10260.3,0.20895,0.12428,0.85377,0.99962,1,0.995,0.98266,0.2181,0.11717,0.80916,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,10395,0.20397,0.1197,0.85292,0.99962,1,0.995,0.98311,0.21704,0.11632,0.80867,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,10532.7,0.20099,0.11861,0.85111,0.9996,1,0.995,0.98313,0.21619,0.11591,0.8082,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,10667.5,0.19581,0.11757,0.84967,0.99957,1,0.995,0.98345,0.21538,0.11499,0.8079,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,10802.3,0.19412,0.1108,0.8485,0.9997,1,0.995,0.9835,0.21464,0.11483,0.80751,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,10936.9,0.18892,0.10719,0.84772,0.9997,1,0.995,0.98363,0.21398,0.11427,0.80717,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
